date,open,high,low,close,volume,SMA,EMA,BB_MID,BB_UPPER,BB_LOWER,RSI,CCI,VADER_Compound,TextBlob_Polarity,FinBERT_Label,CryptoBERT_Label,original_preds
2024-10-26,66698.32,67454.55,66439.9,67092.76,11842.9077,67216.804,67239.81762,67216.804,68345.24828,66088.35972,49.69353749,-24.00281029,0.2235,0,0,1,66241.30854
2024-10-27,67092.76,68332.05,66913.73,68021.7,8653.19592,67335.944,67500.44508,67335.944,68639.74031,66032.14769,60.03361482,76.43619799,0.05135,0.025,0.5,-1,66908.51282
2024-10-28,68021.69,70270,67618,69962.21,29046.75459,67994.656,68321.03339,67994.656,70258.69493,65730.61707,73.99220956,159.1607597,0.08255,0,1,-1,67344.55081
2024-10-29,69962.21,73620.12,69760,72736.42,50128.60594,68902.284,69792.82892,68902.284,73350.31822,64454.24978,83.9867067,139.5589303,0.014042857,0.146450216,0.285714286,-1,68750.75749
2024-10-30,72736.41,72961,71436,72344.74,26885.99056,70031.566,70643.46595,70031.566,74534.71702,65528.41498,78.65247403,86.83632345,0.1101,-0.025,0.25,-1,71998.42962
2024-10-31,72344.75,72700,69685.76,70292.01,29352.10297,70671.416,70526.31397,70671.416,74104.45217,67238.37983,55.54258208,19.4479764,-0.125,0,0.5,-1,71102.18534
2024-11-1,70292.01,71632.95,68820.14,69496.01,38301.86755,70966.278,70182.87931,70966.278,73598.08925,68334.46675,48.61827494,-60.12014775,-0.091066667,-0.011111111,-0.333333333,-1,72182.58825
2024-11-2,69496,69914.37,69000.14,69374.74,10521.67243,70848.784,69913.49954,70848.784,73693.26701,68004.30099,47.49079196,-101.2818454,0,0,1,-1,70800.09077
2024-11-3,69374.74,69391,67478.73,68775.99,24995.70243,70056.698,69534.32969,70056.698,72540.26941,67573.12659,41.54474054,-103.2137091,0.2023,0,1,-1,69232.54067
2024-11-4,68775.99,69500,66835,67850.01,29800.39187,69157.752,68972.8898,69157.752,70783.53792,67531.96608,33.44882141,-102.1530064,-0.2814,-0.2,0,-0.333333333,68449.59317
2024-11-5,67850.01,70577.91,67476.63,69372.01,33355.06888,68973.752,69105.92986,68973.752,70204.70614,67742.79786,52.47636799,12.49465181,-0.0459,0.294444444,-0.333333333,-1,67922.21583
2024-11-6,69372.01,76400,69298,75571.99,104126.9948,70188.948,71261.28324,70188.948,75686.18693,64691.70907,80.64870105,166.6666667,0.215428571,0.138787879,0.428571429,-1,68995.08012
2024-11-7,75571.99,76849.99,74416,75857.89,44869.42235,71485.578,72793.4855,71485.578,78462.24005,64508.91595,81.28809009,105.3735055,0.24708,0.0915,0.6,-0.6,72580.19618
2024-11-8,75857.89,77199.99,75555,76509.78,36521.09958,73032.336,74032.25033,73032.336,80341.54684,65723.12516,82.89857799,78.92377544,0.036375,0.2,0.75,-1,74126.73117
2024-11-9,76509.78,76900,75714.66,76677.46,16942.07915,74797.826,74913.98689,74797.826,80284.2715,69311.3805,83.35908217,62.70780581,0,0,0,0,76016.5936
2024-11-10,76677.46,81500,76492,80370.01,61830.10044,76997.426,76732.66126,76997.426,80466.70947,73528.14253,90.44304274,159.2715473,0,0,0,0,77769.4742
2024-11-11,80370.01,89530.54,80216.01,88647.99,82323.66578,79612.626,80704.43751,79612.626,89185.60164,70039.65036,95.64187903,153.5294495,0.31038,0.172969697,0.4,-1,78468.80219
2024-11-12,88648,89940,85072,87952.01,97299.88791,82031.45,83120.295,82031.45,92642.61633,71420.28367,90.46971691,94.51736693,-0.0103,0.25,0,0,82041.19683
2024-11-13,87952,93265.64,86127.99,90375.2,86763.85413,84804.534,85538.59667,84804.534,95441.27838,74167.78962,92.28539362,83.72046172,0.43592,0.015555556,0,-1,85044.39531
2024-11-14,90375.21,91790,86668.21,87325.59,56729.51086,86934.16,86134.26111,86934.16,93807.60285,80060.71715,71.00466656,52.52383232,0.5522,-0.133333333,-0.333333333,-0.333333333,89153.88656
2024-11-15,87325.59,91850,87073.38,91032.07,47927.95068,89066.572,87766.86408,89066.572,91898.41483,86234.72917,78.52726947,81.34629698,0.2098,0.159090909,0.25,-1,88154.32449
2024-11-16,91032.08,91779.66,90056.17,90586.92,22717.87689,89454.358,88706.88272,89454.358,92475.42067,86433.29533,75.58338281,92.94156233,0,0,0,0,89814.71804
2024-11-17,90587.98,91449.99,88722,89855.99,23867.55609,89835.154,89089.91848,89835.154,92456.26145,87214.04655,70.18314556,19.09236489,0,0,0,0,89459.6719
2024-11-18,89855.98,92594,89376.9,90464.08,46545.03448,89852.93,89547.97232,89852.93,92489.60573,87216.25427,72.24531747,83.55451885,0.18718,0.06,0,-1,89407.50561
2024-11-19,90464.07,93905.51,90357,92310.79,43660.04682,90849.97,90468.91155,90849.97,92492.71359,89207.22641,78.01687809,156.0481796,0.120842857,0.015,0.142857143,-1,90405.99849
2024-11-20,92310.8,94831.97,91500,94286.56,42203.19871,91500.868,91741.46103,91500.868,94729.72631,88272.00969,82.80018694,123.6526731,0.2839,0.088888889,0.5,-1,91750.6458
2024-11-21,94286.56,98988,94040,98317.12,69228.36048,93046.908,93933.34735,93046.908,99159.62913,86934.18687,88.93798245,140.7671893,-0.015883333,0,0.166666667,-0.333333333,94074.45619
2024-11-22,98317.12,99588.01,97122.11,98892,46189.30924,94854.11,95586.23157,94854.11,101448.65,88259.57002,89.59967669,100.7935477,0,0.191818182,0,-1,95473.13633
2024-11-23,98892,98908.85,97136,97672.4,24757.84367,96295.774,96281.62105,96295.774,101405.6364,91185.91164,77.33272754,57.06357491,0.3818,0.083333333,0,-1,98588.71344
2024-11-24,97672.4,98564,95734.77,97900.04,31200.97838,97413.624,96821.09403,97413.624,100648.9287,94178.31933,78.03436859,24.84733164,0,0,0,0,97717.74287
2024-11-25,97900.05,98871.8,92600.19,93010.01,50847.45096,97158.314,95550.73269,97158.314,101388.8096,92927.81838,42.61453854,-163.7617775,-0.0401,0,-0.25,0,98159.50732
2024-11-26,93010.01,94973.37,90791.1,91965.16,57858.73138,95887.922,94355.54179,95887.922,101539.676,90236.16798,38.00692806,-120.1583774,0.136433333,0.064393939,0,-0.333333333,94843.98156
2024-11-27,91965.16,97208.21,91792.14,95863.11,41153.42734,95282.144,94858.06453,95282.144,100104.5252,90459.76281,58.78691984,-22.73092969,-0.09165,-0.019444444,-0.25,0,92378.26627
2024-11-28,95863.11,96564,94640,95643.98,28814.54357,94876.46,95120.03635,94876.46,99134.52571,90618.39429,57.43407669,31.47237389,0.040133333,-0.011111111,0.111111111,-0.777777778,94336.7797
2024-11-29,95643.99,98619.99,95364.99,97460,27701.78231,94788.452,95900.02423,94788.452,98804.20302,90772.70098,65.62812873,130.3620052,-0.193366667,-0.041666667,0,-0.333333333,94729.13234
2024-11-30,97460,97463.95,96092.01,96407.99,14503.83306,95468.048,96069.34616,95468.048,99189.18913,91746.90687,57.59912273,64.87440635,0,0,0,0,96485.19028
2024-12-1,96407.99,97836,95693.88,97185.18,16938.60452,96512.052,96441.29077,96512.052,97936.75136,95087.35264,61.90317817,55.75773251,0,0,0,0,97749.98739
2024-12-2,97185.17,98130,94395,95840.62,37958.66981,96507.554,96241.06718,96507.554,97940.53813,95074.56987,50.7604513,-49.34914013,0.228966667,0.066666667,0.166666667,-1,97023.04195
2024-12-3,95840.61,96305.52,93578.17,95849.69,35827.32283,96548.696,96110.60812,96548.696,97888.9545,95208.4375,50.83507401,-133.2976933,0.113333333,0,0,-1,96859.54205
2024-12-4,95849.69,99000,94587.83,98587.32,43850.53728,96774.16,96936.17875,96774.16,98836.52928,94711.79072,68.72036818,99.11579811,0,0,0.333333333,-1,96172.80863
2024-12-5,98587.32,104088,90500,96945.63,109921.7297,96881.688,96939.32916,96881.688,98912.29755,94851.07845,53.99621225,57.40788309,0.098983333,0.066666667,0.5,-0.666666667,98707.13867
2024-12-6,96945.63,101898.99,95981.72,99740.84,45049.5331,97392.82,97873.16611,97392.82,100482.2319,94303.40813,68.40429701,134.9333369,0.1464,-0.125,0,-0.25,97123.19448
