date,open,high,low,close,volume,SMA,EMA,BB_MID,BB_UPPER,BB_LOWER,RSI,CCI,VADER_Compound,TextBlob_Polarity,FinBERT_Label,CryptoBERT_Label,original_preds
2024-11-9,2961.75,3157.4,2953.71,3126.21,526719.4212,2825.57,2882.946397,2825.57,3304.731119,2346.408881,89.38871677,96.74386628,0,0,0,0,2938.324856
2024-11-10,3126.2,3248.52,3069,3183.21,865536.7322,2977.702,2983.034265,2977.702,3308.464446,2646.939554,90.5668033,99.23268865,0,0,0,0,3018.82439
2024-11-11,3183.2,3387.61,3105,3371.59,1000093.966,3107.646,3112.552843,3107.646,3444.721983,2770.570017,93.53291641,108.6449868,0,0,0,0,3111.71586
2024-11-12,3371.59,3442.5,3207.67,3243.8,973215.7285,3177.312,3156.301895,3177.312,3447.538234,2907.085766,73.84420377,82.77846252,0,0,0.333333333,-1,3264.692234
2024-11-13,3243.79,3331,3116.69,3187.16,919686.3747,3222.394,3166.58793,3222.394,3389.117353,3055.670647,66.13164387,2.798201582,0.1027,0,0,-1,3314.612686
2024-11-14,3187.16,3240.4,3028.56,3058.82,605780.6662,3208.916,3130.665287,3208.916,3411.583521,3006.248479,51.03449969,-112.3489182,0.3182,0,0,-1,3288.613519
2024-11-15,3058.81,3131.06,3014.5,3090.01,519623.6317,3190.276,3117.113525,3190.276,3414.923716,2965.628284,54.21005006,-95.7432033,0,0,0,0,3125.701016
2024-11-16,3090.01,3219.97,3072,3132.87,423639.1573,3142.532,3122.365683,3142.532,3275.517653,3009.546347,58.79966606,-25.08288379,0,0,0,0,3109.978922
2024-11-17,3132.88,3162.11,3034.99,3076,449818.9575,3108.972,3106.910455,3108.972,3201.260292,3016.683708,50.41795835,-58.71847135,0,0,0,0,3161.952323
2024-11-18,3075.99,3224.94,3050.01,3207.8,640658.4357,3113.1,3140.540304,3113.1,3219.738902,3006.461098,64.90890524,106.3163376,0,0,0,0,3083.516384
2024-11-19,3207.81,3221.2,3065.4,3107.44,500112.0194,3122.824,3129.506869,3122.824,3215.894965,3029.753035,50.78224473,24.73891854,0,0,0,-1,3192.476215
2024-11-20,3107.45,3159.2,3029.41,3069.97,503607.8336,3118.816,3109.661246,3118.816,3218.672786,3018.959214,46.09985228,-89.33400779,0,0,0,0,3154.95162
2024-11-21,3069.97,3386.73,3032.59,3355.81,974923.3035,3163.404,3191.710831,3163.404,3379.723051,2947.084949,71.31804595,146.7112337,0,0,0,0,3093.026122
2024-11-22,3355.88,3425.92,3257.54,3327.78,603273.7093,3213.76,3237.06722,3213.76,3442.134764,2985.385236,67.44979398,115.188055,0,0,1,-1,3333.069338
2024-11-23,3327.78,3497.51,3312.72,3393.91,721024.0009,3250.982,3289.348147,3250.982,3520.329219,2981.634781,71.93841515,98.49512986,0,0,0,0,3370.129442
2024-11-24,3393.91,3450,3281.4,3361.2,479098.0921,3301.734,3313.298765,3301.734,3537.275554,3066.192446,66.28673142,53.17042361,0,0,0,0,3412.97075
2024-11-25,3361.21,3546.66,3300.01,3414.49,949330.37,3370.638,3347.029176,3370.638,3431.369129,3309.906871,70.93658075,91.22554349,0,0,0,0,3346.053794
2024-11-26,3414.49,3462.49,3252,3324.73,672367.1503,3364.422,3339.596118,3364.422,3435.442105,3293.401895,54.97287804,-61.91317198,0.2023,0.5,1,-1,3430.699008
2024-11-27,3324.74,3684.92,3302.4,3653.28,754573.6485,3429.522,3444.157412,3429.522,3661.403137,3197.640863,77.81538892,161.086412,0,0,0,0,3358.516328
2024-11-28,3653.27,3661.92,3529.76,3578.79,560976.425,3466.498,3489.034941,3466.498,3721.664887,3211.331113,68.03396759,99.03062828,0,0,0,0,3656.937486
2024-11-29,3578.8,3647.98,3534.28,3592.21,425493.2449,3512.7,3523.426627,3512.7,3758.350792,3267.049208,68.91393538,66.59240986,0,0,0,0,3587.768954
2024-11-30,3592.22,3738.98,3568.4,3703.6,503684.7485,3570.522,3583.484418,3570.522,3832.072878,3308.971122,75.82009151,98.68353958,0,0,0,0,3589.263561
